Name,Address,Distance,Description,Rating,Price,Image,Hotel_URL
Ramada by Wyndham Multan,Multan,2.1 km from downtown,[],8.3,"PKR 21,596",https://cf.bstatic.com/xdata/images/hotel/square240/687539967.webp?k=f1f6b30e0966ab7083ecdcdb391c357d6a055107688160267a071e86c02c761f&o=,https://www.booking.com/hotel/pk/ramada-multan.html?aid=304142&label=gen173nr-10CAQoggJCDXNlYXJjaF9tdWx0YW5IM1gEaLUBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAK21eLFBsACAdICJGZkZGVkNTUzLThhM2MtNDRiMC04ZTJiLWUwOTEyNGZhZTAxONgCAeACAQ&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=bd4092db331306f5&srepoch=1756932825&all_sr_blocks=180835026_94015800_2_41_0&highlighted_blocks=180835026_94015800_2_41_0&matching_block_id=180835026_94015800_2_41_0&sr_pri_blocks=180835026_94015800_2_41_0__2159550&from=searchresults
Hotel PAK Continental Multan,Multan,2.1 km from downtown,[],7.5,"PKR 3,949",https://cf.bstatic.com/xdata/images/hotel/square240/676624614.webp?k=b44982d12a47c00b4ec639ab782368eed527a31d7644cf97dd976a894f126583&o=,https://www.booking.com/hotel/pk/star-continental.html?aid=304142&label=gen173nr-10CAQoggJCDXNlYXJjaF9tdWx0YW5IM1gEaLUBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAK21eLFBsACAdICJGZkZGVkNTUzLThhM2MtNDRiMC04ZTJiLWUwOTEyNGZhZTAxONgCAeACAQ&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=bd4092db331306f5&srepoch=1756932825&all_sr_blocks=1147410111_387583038_2_1_0&highlighted_blocks=1147410111_387583038_2_1_0&matching_block_id=1147410111_387583038_2_1_0&sr_pri_blocks=1147410111_387583038_2_1_0__394875&from=searchresults
The Grand Hotel Multan,Multan,1.9 km from downtown,[],7.0,"PKR 3,600",https://cf.bstatic.com/xdata/images/hotel/square240/648207578.webp?k=e93d8b28657ebbebb16f3df83aca702b7c39381302c4f096a92bb5d23991fe56&o=,https://www.booking.com/hotel/pk/the-grand-multan-mltn.html?aid=304142&label=gen173nr-10CAQoggJCDXNlYXJjaF9tdWx0YW5IM1gEaLUBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAK21eLFBsACAdICJGZkZGVkNTUzLThhM2MtNDRiMC04ZTJiLWUwOTEyNGZhZTAxONgCAeACAQ&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=bd4092db331306f5&srepoch=1756932825&all_sr_blocks=1361492601_408460266_2_1_0_808528&highlighted_blocks=1361492601_408460266_2_1_0_808528&matching_block_id=1361492601_408460266_2_1_0_808528&sr_pri_blocks=1361492601_408460266_2_1_0_808528_360000&from=searchresults
The Belmorris,Multan,3.2 km from downtown,[],9.5,"PKR 17,100",https://cf.bstatic.com/xdata/images/hotel/square240/733538478.webp?k=eadbf764679c9c70ce3c137313b070b7b2a300b21f1dfac276178e0913a10272&o=,https://www.booking.com/hotel/pk/the-belmorris.html?aid=304142&label=gen173nr-10CAQoggJCDXNlYXJjaF9tdWx0YW5IM1gEaLUBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAK21eLFBsACAdICJGZkZGVkNTUzLThhM2MtNDRiMC04ZTJiLWUwOTEyNGZhZTAxONgCAeACAQ&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=bd4092db331306f5&srepoch=1756932825&all_sr_blocks=1472572402_418599550_2_1_0&highlighted_blocks=1472572402_418599550_2_1_0&matching_block_id=1472572402_418599550_2_1_0&sr_pri_blocks=1472572402_418599550_2_1_0__1710000&from=searchresults
Rumanza by Pearl Continental,Multan,6.4 km from downtown,[],8.1,"PKR 27,541",https://cf.bstatic.com/xdata/images/hotel/square240/703309792.webp?k=91fddd01e74a634253c3f36fab95638d508dcd7b78acde6851173f652ed9428c&o=,https://www.booking.com/hotel/pk/rumanza-by-pearl-continental.html?aid=304142&label=gen173nr-10CAQoggJCDXNlYXJjaF9tdWx0YW5IM1gEaLUBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAK21eLFBsACAdICJGZkZGVkNTUzLThhM2MtNDRiMC04ZTJiLWUwOTEyNGZhZTAxONgCAeACAQ&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=bd4092db331306f5&srepoch=1756932825&all_sr_blocks=1193984601_391703817_2_41_0_555586&highlighted_blocks=1193984601_391703817_2_41_0_555586&matching_block_id=1193984601_391703817_2_41_0_555586&sr_pri_blocks=1193984601_391703817_2_41_0_555586_9775&from=searchresults
Grand Luxury Hotel Multan,Multan,2.3 km from downtown,[],8.4,"PKR 5,670",https://cf.bstatic.com/xdata/images/hotel/square240/420741250.webp?k=620eb41fb63e71ac99fe585dcfe7fa196e3dd3bb254d71faaaaa746668b033ee&o=,https://www.booking.com/hotel/pk/grand-luxury-multan-multan.html?aid=304142&label=gen173nr-10CAQoggJCDXNlYXJjaF9tdWx0YW5IM1gEaLUBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAK21eLFBsACAdICJGZkZGVkNTUzLThhM2MtNDRiMC04ZTJiLWUwOTEyNGZhZTAxONgCAeACAQ&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=bd4092db331306f5&srepoch=1756932825&all_sr_blocks=948695403_417854927_0_2_0&highlighted_blocks=948695403_417854927_0_2_0&matching_block_id=948695403_417854927_0_2_0&sr_pri_blocks=948695403_417854927_0_2_0__567000&from=searchresults
Bling International Hotel Multan,Multan,2 km from downtown,[],9.3,"PKR 6,750",https://cf.bstatic.com/xdata/images/hotel/square240/557821339.webp?k=056c01129fe0d77a324fe84453937a0a9f002b2476f0f5f282ed07a09c251b3c&o=,https://www.booking.com/hotel/pk/south-punjab-multan.html?aid=304142&label=gen173nr-10CAQoggJCDXNlYXJjaF9tdWx0YW5IM1gEaLUBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAK21eLFBsACAdICJGZkZGVkNTUzLThhM2MtNDRiMC04ZTJiLWUwOTEyNGZhZTAxONgCAeACAQ&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=bd4092db331306f5&srepoch=1756932825&all_sr_blocks=1207206201_392920354_2_1_0&highlighted_blocks=1207206201_392920354_2_1_0&matching_block_id=1207206201_392920354_2_1_0&sr_pri_blocks=1207206201_392920354_2_1_0__675000&from=searchresults
Hotel PAK Continentall Multan,Multan,2.1 km from downtown,[],8.2,"PKR 5,265",https://cf.bstatic.com/xdata/images/hotel/square240/634397992.webp?k=27f6ff0914207b2137cb2b8c474590643e3931ee607e45bb074da7ae04369f92&o=,https://www.booking.com/hotel/pk/shaheen-continental-multan-multan12.html?aid=304142&label=gen173nr-10CAQoggJCDXNlYXJjaF9tdWx0YW5IM1gEaLUBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAK21eLFBsACAdICJGZkZGVkNTUzLThhM2MtNDRiMC04ZTJiLWUwOTEyNGZhZTAxONgCAeACAQ&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=bd4092db331306f5&srepoch=1756932825&all_sr_blocks=777174213_407454951_2_1_0_866269&highlighted_blocks=777174213_407454951_2_1_0_866269&matching_block_id=777174213_407454951_2_1_0_866269&sr_pri_blocks=777174213_407454951_2_1_0_866269_526500&from=searchresults
Hotel One Tariq Road Multan,Multan,2.6 km from downtown,[],8.6,"PKR 18,900",https://cf.bstatic.com/xdata/images/hotel/square240/289835611.webp?k=72ea9bb41498de02c43c4b37febcf774546438ecd4955f55103bb8a0675c28de&o=,https://www.booking.com/hotel/pk/one-tariq-road.html?aid=304142&label=gen173nr-10CAQoggJCDXNlYXJjaF9tdWx0YW5IM1gEaLUBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAK21eLFBsACAdICJGZkZGVkNTUzLThhM2MtNDRiMC04ZTJiLWUwOTEyNGZhZTAxONgCAeACAQ&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=bd4092db331306f5&srepoch=1756932825&all_sr_blocks=265113001_248999742_0_1_0&highlighted_blocks=265113001_248999742_0_1_0&matching_block_id=265113001_248999742_0_1_0&sr_pri_blocks=265113001_248999742_0_1_0__1890000&from=searchresults
The Sapphire Suites,Multan,10.4 km from downtown,"['Entire studio', '1 bathroom', '1 kitchen', '33 m²']",8.8,"PKR 7,650",https://cf.bstatic.com/xdata/images/hotel/square240/603644067.webp?k=002fdc8d2de992ac424dfd05624438a2dbff9b9508f28a31b61f98110fa291a1&o=,https://www.booking.com/hotel/pk/the-sapphire-suites.html?aid=304142&label=gen173nr-10CAQoggJCDXNlYXJjaF9tdWx0YW5IM1gEaLUBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAK21eLFBsACAdICJGZkZGVkNTUzLThhM2MtNDRiMC04ZTJiLWUwOTEyNGZhZTAxONgCAeACAQ&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=bd4092db331306f5&srepoch=1756932825&all_sr_blocks=1291963506_404388449_2_0_0&highlighted_blocks=1291963506_404388449_2_0_0&matching_block_id=1291963506_404388449_2_0_0&sr_pri_blocks=1291963506_404388449_2_0_0__765000&from=searchresults
Hotel Multan Continental,Multan,2.3 km from downtown,[],6.8,"PKR 3,969",https://cf.bstatic.com/xdata/images/hotel/square240/332329787.webp?k=2d7ca4df40940f07d148dec5da22c1205badd745db5f4186ff39b587f460446c&o=,https://www.booking.com/hotel/pk/multan-continental-multan.html?aid=304142&label=gen173nr-10CAQoggJCDXNlYXJjaF9tdWx0YW5IM1gEaLUBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAK21eLFBsACAdICJGZkZGVkNTUzLThhM2MtNDRiMC04ZTJiLWUwOTEyNGZhZTAxONgCAeACAQ&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=popularity&srpvid=bd4092db331306f5&srepoch=1756932825&all_sr_blocks=804944610_407172118_2_1_0&highlighted_blocks=804944610_407172118_2_1_0&matching_block_id=804944610_407172118_2_1_0&sr_pri_blocks=804944610_407172118_2_1_0__396900&from=searchresults
The Signature Hotel Multan,Multan,4 km from downtown,[],8.9,"PKR 9,450",https://cf.bstatic.com/xdata/images/hotel/square240/503842541.webp?k=55c63430c3505f7914e132d20559c89456ce226aac9ca8469de7a3fb04464717&o=,https://www.booking.com/hotel/pk/the-signature.html?aid=304142&label=gen173nr-10CAQoggJCDXNlYXJjaF9tdWx0YW5IM1gEaLUBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAK21eLFBsACAdICJGZkZGVkNTUzLThhM2MtNDRiMC04ZTJiLWUwOTEyNGZhZTAxONgCAeACAQ&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=12&sr_order=popularity&srpvid=bd4092db331306f5&srepoch=1756932825&all_sr_blocks=967135109_369174706_2_1_0&highlighted_blocks=967135109_369174706_2_1_0&matching_block_id=967135109_369174706_2_1_0&sr_pri_blocks=967135109_369174706_2_1_0__945000&from=searchresults
Al Qadir Residence,Multan,2.5 km from downtown,[],5.6,"PKR 1,760",https://cf.bstatic.com/xdata/images/hotel/square240/593625680.webp?k=1aa370982000e671fba6e45cf6d0c891fbb17b3cc27e025724d94c33292b5d47&o=,https://www.booking.com/hotel/pk/al-qadir-residence.html?aid=304142&label=gen173nr-10CAQoggJCDXNlYXJjaF9tdWx0YW5IM1gEaLUBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAK21eLFBsACAdICJGZkZGVkNTUzLThhM2MtNDRiMC04ZTJiLWUwOTEyNGZhZTAxONgCAeACAQ&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=13&sr_order=popularity&srpvid=bd4092db331306f5&srepoch=1756932825&all_sr_blocks=1041326802_376565609_2_0_0&highlighted_blocks=1041326802_376565609_2_0_0&matching_block_id=1041326802_376565609_2_0_0&sr_pri_blocks=1041326802_376565609_2_0_0__176000&from=searchresults
Grand Shalimar Hotel,Multan,5.6 km from downtown,[],8.2,"PKR 11,250",https://cf.bstatic.com/xdata/images/hotel/square240/639530809.webp?k=6ebebe35c4c4a926ab929784e3cf5153078667e55bbc57cd05df983034f5a161&o=,https://www.booking.com/hotel/pk/grand-shalimar-multan.html?aid=304142&label=gen173nr-10CAQoggJCDXNlYXJjaF9tdWx0YW5IM1gEaLUBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAK21eLFBsACAdICJGZkZGVkNTUzLThhM2MtNDRiMC04ZTJiLWUwOTEyNGZhZTAxONgCAeACAQ&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=14&sr_order=popularity&srpvid=bd4092db331306f5&srepoch=1756932825&all_sr_blocks=1346496601_407003695_2_1_0&highlighted_blocks=1346496601_407003695_2_1_0&matching_block_id=1346496601_407003695_2_1_0&sr_pri_blocks=1346496601_407003695_2_1_0__1125000&from=searchresults
Five Monts Hotel,Multan,1.8 km from downtown,[],4.4,"PKR 5,130",https://cf.bstatic.com/xdata/images/hotel/square240/740769294.webp?k=82711e27c3d98a4c75a562f414ff297a4ad3210a00a0645fcaa8f87a7c371b4f&o=,https://www.booking.com/hotel/pk/five-monts.html?aid=304142&label=gen173nr-10CAQoggJCDXNlYXJjaF9tdWx0YW5IM1gEaLUBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAK21eLFBsACAdICJGZkZGVkNTUzLThhM2MtNDRiMC04ZTJiLWUwOTEyNGZhZTAxONgCAeACAQ&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=15&sr_order=popularity&srpvid=bd4092db331306f5&srepoch=1756932825&all_sr_blocks=1240011701_396039364_2_42_0&highlighted_blocks=1240011701_396039364_2_42_0&matching_block_id=1240011701_396039364_2_42_0&sr_pri_blocks=1240011701_396039364_2_42_0__513000&from=searchresults
Elegant Executive Suite,Multan,3.1 km from downtown,[],8.3,"PKR 9,000",https://cf.bstatic.com/xdata/images/hotel/square240/511167773.webp?k=afb646ee1b4657cc794f3c4d05483721cb7e74450b4bc1bac24bbd6dedf91c8f&o=,https://www.booking.com/hotel/pk/elegant-exective-suite.html?aid=304142&label=gen173nr-10CAQoggJCDXNlYXJjaF9tdWx0YW5IM1gEaLUBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAK21eLFBsACAdICJGZkZGVkNTUzLThhM2MtNDRiMC04ZTJiLWUwOTEyNGZhZTAxONgCAeACAQ&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=16&hapos=16&sr_order=popularity&srpvid=bd4092db331306f5&srepoch=1756932825&all_sr_blocks=1115687703_384459945_2_1_0&highlighted_blocks=1115687703_384459945_2_1_0&matching_block_id=1115687703_384459945_2_1_0&sr_pri_blocks=1115687703_384459945_2_1_0__900000&from=searchresults
Hotel One Lalazar Multan,Multan,2.5 km from downtown,[],7.0,"PKR 14,850",https://cf.bstatic.com/xdata/images/hotel/square240/289827597.webp?k=ebb8b37934eddecdce22c64032325b7a8260382dd3f874556f5e17ee28c45d1a&o=,https://www.booking.com/hotel/pk/fortalice-multan.html?aid=304142&label=gen173nr-10CAQoggJCDXNlYXJjaF9tdWx0YW5IM1gEaLUBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAK21eLFBsACAdICJGZkZGVkNTUzLThhM2MtNDRiMC04ZTJiLWUwOTEyNGZhZTAxONgCAeACAQ&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=17&hapos=17&sr_order=popularity&srpvid=bd4092db331306f5&srepoch=1756932825&all_sr_blocks=41645201_393313476_2_1_0&highlighted_blocks=41645201_393313476_2_1_0&matching_block_id=41645201_393313476_2_1_0&sr_pri_blocks=41645201_393313476_2_1_0__1485000&from=searchresults
S Chalet Multan,Multan,4.7 km from downtown,[],7.6,"PKR 17,219",https://cf.bstatic.com/xdata/images/hotel/square240/160371805.webp?k=5493695298eb66266e2a4ec342b4a7a8695fb2d02ba6ffc243fd6902689c8fef&o=,https://www.booking.com/hotel/pk/s-chalet-multan.html?aid=304142&label=gen173nr-10CAQoggJCDXNlYXJjaF9tdWx0YW5IM1gEaLUBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAK21eLFBsACAdICJGZkZGVkNTUzLThhM2MtNDRiMC04ZTJiLWUwOTEyNGZhZTAxONgCAeACAQ&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=18&hapos=18&sr_order=popularity&srpvid=bd4092db331306f5&srepoch=1756932825&all_sr_blocks=393592902_369292436_0_41_0&highlighted_blocks=393592902_369292436_0_41_0&matching_block_id=393592902_369292436_0_41_0&sr_pri_blocks=393592902_369292436_0_41_0__1721875&from=searchresults
City Centre Suites,Multan,3.9 km from downtown,[],6.7,"PKR 8,000",https://cf.bstatic.com/xdata/images/hotel/square240/247348759.webp?k=73db9a3ecfe1f17a1da2936c3ebfc1178d4270cb8b8859aa4190da2b7805e208&o=,https://www.booking.com/hotel/pk/city-centre-suites.html?aid=304142&label=gen173nr-10CAQoggJCDXNlYXJjaF9tdWx0YW5IM1gEaLUBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAK21eLFBsACAdICJGZkZGVkNTUzLThhM2MtNDRiMC04ZTJiLWUwOTEyNGZhZTAxONgCAeACAQ&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=19&hapos=19&sr_order=popularity&srpvid=bd4092db331306f5&srepoch=1756932825&all_sr_blocks=166399202_233059912_2_1_0&highlighted_blocks=166399202_233059912_2_1_0&matching_block_id=166399202_233059912_2_1_0&sr_pri_blocks=166399202_233059912_2_1_0__800000&from=searchresults
Hotel New Mid City Multan,Multan,3.1 km from downtown,[],6.0,"PKR 5,850",https://cf.bstatic.com/xdata/images/hotel/square240/637915631.webp?k=a31d87ea14f7c51979a9a467ee42ceb6757b1efc794179414f30c5391a0420ff&o=,https://www.booking.com/hotel/pk/m-c-one.html?aid=304142&label=gen173nr-10CAQoggJCDXNlYXJjaF9tdWx0YW5IM1gEaLUBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAK21eLFBsACAdICJGZkZGVkNTUzLThhM2MtNDRiMC04ZTJiLWUwOTEyNGZhZTAxONgCAeACAQ&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=20&hapos=20&sr_order=popularity&srpvid=bd4092db331306f5&srepoch=1756932825&all_sr_blocks=1336238910_409534221_2_1_0&highlighted_blocks=1336238910_409534221_2_1_0&matching_block_id=1336238910_409534221_2_1_0&sr_pri_blocks=1336238910_409534221_2_1_0__585000&from=searchresults
Avari Xpress Multan,Multan,3.3 km from downtown,[],8.6,"PKR 28,175",https://cf.bstatic.com/xdata/images/hotel/square240/223259332.webp?k=977aa4c47a09a6bcadc9666e4517b7886462bfad8bdbcb88b2680d84c51949e9&o=,https://www.booking.com/hotel/pk/avari-xpress-multan.html?aid=304142&label=gen173nr-10CAQoggJCDXNlYXJjaF9tdWx0YW5IM1gEaLUBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAK21eLFBsACAdICJGZkZGVkNTUzLThhM2MtNDRiMC04ZTJiLWUwOTEyNGZhZTAxONgCAeACAQ&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=21&hapos=21&sr_order=popularity&srpvid=bd4092db331306f5&srepoch=1756932825&all_sr_blocks=401881201_376790931_2_1_0&highlighted_blocks=401881201_376790931_2_1_0&matching_block_id=401881201_376790931_2_1_0&sr_pri_blocks=401881201_376790931_2_1_0__10000&from=searchresults
"Enjoy a Cozy, Peaceful Space with Self Check-In",Multan,5.8 km from downtown,"['Entire apartment', '1 bedroom', '1 living room', '1 bathroom', '1 kitchen', '15 m²']",9.7,"PKR 8,208",https://cf.bstatic.com/xdata/images/hotel/square240/710265849.webp?k=9de9dc169c9baaaac2789a46825555358a97eb85f4cea44af4e057f26d50aea4&o=,https://www.booking.com/hotel/pk/serene-retreat-in-peaceful-neighborhood.html?aid=304142&label=gen173nr-10CAQoggJCDXNlYXJjaF9tdWx0YW5IM1gEaLUBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAK21eLFBsACAdICJGZkZGVkNTUzLThhM2MtNDRiMC04ZTJiLWUwOTEyNGZhZTAxONgCAeACAQ&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=22&hapos=22&sr_order=popularity&srpvid=bd4092db331306f5&srepoch=1756932825&all_sr_blocks=1265256201_399181811_2_0_0&highlighted_blocks=1265256201_399181811_2_0_0&matching_block_id=1265256201_399181811_2_0_0&sr_pri_blocks=1265256201_399181811_2_0_0__820800&from=searchresults
Avari Boutique Multan,Multan,2.7 km from downtown,[],8.4,"PKR 30,147",https://cf.bstatic.com/xdata/images/hotel/square240/116677942.webp?k=58aa1dad93c2cee1a2b293da1026ba2e81af3df90fcda5d1ca1e67ba79ab1812&o=,https://www.booking.com/hotel/pk/avari-xpress-boutique-residence.html?aid=304142&label=gen173nr-10CAQoggJCDXNlYXJjaF9tdWx0YW5IM1gEaLUBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAK21eLFBsACAdICJGZkZGVkNTUzLThhM2MtNDRiMC04ZTJiLWUwOTEyNGZhZTAxONgCAeACAQ&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=23&hapos=23&sr_order=popularity&srpvid=bd4092db331306f5&srepoch=1756932825&all_sr_blocks=271583301_361553736_2_1_0&highlighted_blocks=271583301_361553736_2_1_0&matching_block_id=271583301_361553736_2_1_0&sr_pri_blocks=271583301_361553736_2_1_0__10700&from=searchresults
Hotel Royal Luxury Multan,Multan,4.6 km from downtown,[],7.1,"PKR 4,530",https://cf.bstatic.com/xdata/images/hotel/square240/430495735.webp?k=ae4966280b2a677d16a3e65032a57dcae49ab73a35c5b9656232ab49276cae3e&o=,https://www.booking.com/hotel/pk/pak-heaven.html?aid=304142&label=gen173nr-10CAQoggJCDXNlYXJjaF9tdWx0YW5IM1gEaLUBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAK21eLFBsACAdICJGZkZGVkNTUzLThhM2MtNDRiMC04ZTJiLWUwOTEyNGZhZTAxONgCAeACAQ&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=24&hapos=24&sr_order=popularity&srpvid=bd4092db331306f5&srepoch=1756932825&all_sr_blocks=721351604_309248717_2_1_0&highlighted_blocks=721351604_309248717_2_1_0&matching_block_id=721351604_309248717_2_1_0&sr_pri_blocks=721351604_309248717_2_1_0__453008&from=searchresults
Hotel De Smart Multan,Multan,4 km from downtown,[],6.9,"PKR 5,387",https://cf.bstatic.com/xdata/images/hotel/square240/640991811.webp?k=6a8e407291ab59961e36bec5f8672b029f2bee2b7d105ff3de930a09618b8b7d&o=,https://www.booking.com/hotel/pk/pak-continentel.html?aid=304142&label=gen173nr-10CAQoggJCDXNlYXJjaF9tdWx0YW5IM1gEaLUBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAK21eLFBsACAdICJGZkZGVkNTUzLThhM2MtNDRiMC04ZTJiLWUwOTEyNGZhZTAxONgCAeACAQ&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=popularity&srpvid=bd4092db331306f5&srepoch=1756932825&all_sr_blocks=1043335702_376714847_2_1_0&highlighted_blocks=1043335702_376714847_2_1_0&matching_block_id=1043335702_376714847_2_1_0&sr_pri_blocks=1043335702_376714847_2_1_0__538650&from=searchresults
BBS Luxury Appartment,Multan,5.6 km from downtown,"['Entire apartment', '1 bedroom', '1 living room', '2 bathrooms', '1 kitchen', '816 m²']",N/A,"PKR 17,600",https://cf.bstatic.com/xdata/images/hotel/square240/698008162.webp?k=5977c01b5f08df2432bf0dafef464aa64049d8e0e6085308f85ea02c41ab1878&o=,https://www.booking.com/hotel/pk/bbs-luxury-appartment.html?aid=304142&label=gen173nr-10CAQoggJCDXNlYXJjaF9tdWx0YW5IM1gEaLUBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAK21eLFBsACAdICJGZkZGVkNTUzLThhM2MtNDRiMC04ZTJiLWUwOTEyNGZhZTAxONgCAeACAQ&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=26&sr_order=popularity&srpvid=bd4092db331306f5&srepoch=1756932816&all_sr_blocks=1437918001_415287812_2_2_0&highlighted_blocks=1437918001_415287812_2_2_0&matching_block_id=1437918001_415287812_2_2_0&sr_pri_blocks=1437918001_415287812_2_2_0__1760000&from=searchresults
