Name,Address,Distance,Description,Rating,Price,Image,Hotel_URL
"Pearl Continental Hotel, Bhurban",Bhurban,2 km from downtown,[],7.5,"PKR 45,080",https://cf.bstatic.com/xdata/images/hotel/square240/634251734.webp?k=3973ecd6543e1d525c9ebd1e26c2b3f1427f56fbbba0387bd59e8e0b2e2eab64&o=,https://www.booking.com/hotel/pk/pearl-continental-bhurban.html?aid=304142&label=gen173nr-10CAQoggJCDnNlYXJjaF9iaHVyYmFuSDNYBGi1AYgBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCrNnixQbAAgHSAiQ5YzkzMDMwNy0xMTY1LTQ5ZmYtYjA1Zi05MWJmNTc2MTc4ZjjYAgHgAgE&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=95ff93d6950e0049&srepoch=1756933325&all_sr_blocks=41528701_198579403_0_1_0&highlighted_blocks=41528701_198579403_0_1_0&matching_block_id=41528701_198579403_0_1_0&sr_pri_blocks=41528701_198579403_0_1_0__16000&from=searchresults
European Complex,Bhurban,0.5 km from downtown,"['Private suite', '2 bedrooms', '1 living room', '2 bathrooms', '13 m²']",7.8,"PKR 16,500",https://cf.bstatic.com/xdata/images/hotel/square240/39640470.webp?k=f9c2cb271251fab2595b2d0b6e5ce5df06d712c938a381acbfd6ce9907659bec&o=,https://www.booking.com/hotel/pk/european-complex.html?aid=304142&label=gen173nr-10CAQoggJCDnNlYXJjaF9iaHVyYmFuSDNYBGi1AYgBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCrNnixQbAAgHSAiQ5YzkzMDMwNy0xMTY1LTQ5ZmYtYjA1Zi05MWJmNTc2MTc4ZjjYAgHgAgE&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=95ff93d6950e0049&srepoch=1756933325&all_sr_blocks=125713316_208981695_4_0_0&highlighted_blocks=125713316_208981695_4_0_0&matching_block_id=125713316_208981695_4_0_0&sr_pri_blocks=125713316_208981695_4_0_0__1650000&from=searchresults
The Timberline Murree,Bhurban,0.6 km from downtown,[],N/A,"PKR 10,800",https://cf.bstatic.com/xdata/images/hotel/square240/737462442.webp?k=939c0d02e950149398221937b0b5314df6232f88e0d66d2c3eed8bd5fe6281f2&o=,https://www.booking.com/hotel/pk/the-timberline-murree.html?aid=304142&label=gen173nr-10CAQoggJCDnNlYXJjaF9iaHVyYmFuSDNYBGi1AYgBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCrNnixQbAAgHSAiQ5YzkzMDMwNy0xMTY1LTQ5ZmYtYjA1Zi05MWJmNTc2MTc4ZjjYAgHgAgE&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=95ff93d6950e0049&srepoch=1756933325&all_sr_blocks=1482769304_419775010_3_1_0&highlighted_blocks=1482769304_419775010_3_1_0&matching_block_id=1482769304_419775010_3_1_0&sr_pri_blocks=1482769304_419775010_3_1_0__1080000&from=searchresults
Awesome Hills BHURBAN,Bhurban,1.2 km from downtown,"['Entire apartment', '2 bedrooms', '1 living room', '2 bathrooms', '1 kitchen', '65 m²']",9.6,"PKR 16,800",https://cf.bstatic.com/xdata/images/hotel/square240/712724452.webp?k=829ee0a713f4c410b9a554af6d99df62abc92995720de1423b23d084b6c8ac28&o=,https://www.booking.com/hotel/pk/awesome-hills-bhurban.html?aid=304142&label=gen173nr-10CAQoggJCDnNlYXJjaF9iaHVyYmFuSDNYBGi1AYgBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCrNnixQbAAgHSAiQ5YzkzMDMwNy0xMTY1LTQ5ZmYtYjA1Zi05MWJmNTc2MTc4ZjjYAgHgAgE&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=95ff93d6950e0049&srepoch=1756933325&all_sr_blocks=1310783905_403851583_7_0_0&highlighted_blocks=1310783905_403851583_7_0_0&matching_block_id=1310783905_403851583_7_0_0&sr_pri_blocks=1310783905_403851583_7_0_0__1680000&from=searchresults
Bhurban Suites,Bhurban,1.1 km from downtown,"['Entire apartment', '2 bedrooms', '1 living room', '2 bathrooms', '1 kitchen', '90 m²']",10,"PKR 19,238",https://cf.bstatic.com/xdata/images/hotel/square240/687444771.webp?k=59cd39b2d624e17ced3d45f3fdfdba46b9e3d7d9bb50448daac86d3e03a80cb9&o=,https://www.booking.com/hotel/pk/your-cozy-mountain-retreat-awaits.html?aid=304142&label=gen173nr-10CAQoggJCDnNlYXJjaF9iaHVyYmFuSDNYBGi1AYgBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCrNnixQbAAgHSAiQ5YzkzMDMwNy0xMTY1LTQ5ZmYtYjA1Zi05MWJmNTc2MTc4ZjjYAgHgAgE&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=95ff93d6950e0049&srepoch=1756933325&all_sr_blocks=1421861601_413812136_0_2_0&highlighted_blocks=1421861601_413812136_0_2_0&matching_block_id=1421861601_413812136_0_2_0&sr_pri_blocks=1421861601_413812136_0_2_0__1923750&from=searchresults
Nasim Cottage,Bhurban,0.8 km from downtown,[],8.8,"PKR 12,000",https://cf.bstatic.com/xdata/images/hotel/square240/680200384.webp?k=446c23da113a2ec30d74f4a6d0b67abad22844241426aa3346ee9379eeea4e86&o=,https://www.booking.com/hotel/pk/nasim-cottage.html?aid=304142&label=gen173nr-10CAQoggJCDnNlYXJjaF9iaHVyYmFuSDNYBGi1AYgBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCrNnixQbAAgHSAiQ5YzkzMDMwNy0xMTY1LTQ5ZmYtYjA1Zi05MWJmNTc2MTc4ZjjYAgHgAgE&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=95ff93d6950e0049&srepoch=1756933325&all_sr_blocks=1409275205_412706452_2_2_0&highlighted_blocks=1409275205_412706452_2_2_0&matching_block_id=1409275205_412706452_2_2_0&sr_pri_blocks=1409275205_412706452_2_2_0__1200000&from=searchresults
Bhurban Hills,Bhurban,2.7 km from downtown,"['Entire apartment', '2 bedrooms', '1 bathroom', '125 m²']",N/A,"PKR 14,500",https://cf.bstatic.com/xdata/images/hotel/square240/722664019.webp?k=25a005b4ff9f200cf13f22f9b7e1b7e51a1931c7a13f43711c32824e36ab4782&o=,https://www.booking.com/hotel/pk/bhurban-hills-bhurban.html?aid=304142&label=gen173nr-10CAQoggJCDnNlYXJjaF9iaHVyYmFuSDNYBGi1AYgBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCrNnixQbAAgHSAiQ5YzkzMDMwNy0xMTY1LTQ5ZmYtYjA1Zi05MWJmNTc2MTc4ZjjYAgHgAgE&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=95ff93d6950e0049&srepoch=1756933325&all_sr_blocks=1464745001_417772541_4_2_0&highlighted_blocks=1464745001_417772541_4_2_0&matching_block_id=1464745001_417772541_4_2_0&sr_pri_blocks=1464745001_417772541_4_2_0__1450000&from=searchresults
Chinar Resort By Grand Unicorn,Bhurban,1.7 km from downtown,[],6.2,"PKR 20,700",https://cf.bstatic.com/xdata/images/hotel/square240/693209396.webp?k=85995fcb01468c843b6a5cd57853d03f4d5b98a3994d5f25e842ddb8e0211d97&o=,https://www.booking.com/hotel/pk/chinar-family-resort-bhurban.html?aid=304142&label=gen173nr-10CAQoggJCDnNlYXJjaF9iaHVyYmFuSDNYBGi1AYgBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCrNnixQbAAgHSAiQ5YzkzMDMwNy0xMTY1LTQ5ZmYtYjA1Zi05MWJmNTc2MTc4ZjjYAgHgAgE&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=95ff93d6950e0049&srepoch=1756933325&all_sr_blocks=1019986301_374397879_2_1_0&highlighted_blocks=1019986301_374397879_2_1_0&matching_block_id=1019986301_374397879_2_1_0&sr_pri_blocks=1019986301_374397879_2_1_0__2070000&from=searchresults
Studi Flat 07 in Swiss Suits Hotel Apartment Bhurban Murre,Bhurban,0.9 km from downtown,"['Entire apartment', '1 bedroom', '1 bathroom', '24 m²']",N/A,"PKR 5,000",https://cf.bstatic.com/xdata/images/hotel/square240/690120378.webp?k=cef8634a4fdac8cc04e5cca63dcf8dd04fccb29282b5a116cd18e3fff3b2c257&o=,https://www.booking.com/hotel/pk/studi-flat-07-in-swiss-suits-apartment-bhurban-murre.html?aid=304142&label=gen173nr-10CAQoggJCDnNlYXJjaF9iaHVyYmFuSDNYBGi1AYgBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCrNnixQbAAgHSAiQ5YzkzMDMwNy0xMTY1LTQ5ZmYtYjA1Zi05MWJmNTc2MTc4ZjjYAgHgAgE&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=95ff93d6950e0049&srepoch=1756933325&all_sr_blocks=1426334201_414216858_2_0_0&highlighted_blocks=1426334201_414216858_2_0_0&matching_block_id=1426334201_414216858_2_0_0&sr_pri_blocks=1426334201_414216858_2_0_0__500000&from=searchresults
Bhurban Suites,Bhurban,1.1 km from downtown,"['Entire apartment', '1 bedroom', '1 bathroom', '1 kitchen', '435 m²']",N/A,"PKR 9,180",https://cf.bstatic.com/xdata/images/hotel/square240/712130088.webp?k=1c6354cfd6136fe510226872d6c4892c77649a0929619463a63a8b26582e255d&o=,https://www.booking.com/hotel/pk/bhurban-suites-bhurban.html?aid=304142&label=gen173nr-10CAQoggJCDnNlYXJjaF9iaHVyYmFuSDNYBGi1AYgBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCrNnixQbAAgHSAiQ5YzkzMDMwNy0xMTY1LTQ5ZmYtYjA1Zi05MWJmNTc2MTc4ZjjYAgHgAgE&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=95ff93d6950e0049&srepoch=1756933325&all_sr_blocks=1455671301_416866327_2_2_0&highlighted_blocks=1455671301_416866327_2_2_0&matching_block_id=1455671301_416866327_2_2_0&sr_pri_blocks=1455671301_416866327_2_2_0__918000&from=searchresults
Bhurban Hill Apartments,Bhurban,2.9 km from downtown,"['Entire apartment', '2 bedrooms', '1 bathroom', '125 m²']",N/A,"PKR 7,225",https://cf.bstatic.com/xdata/images/hotel/square240/700050948.webp?k=11d271f53a43a96f432127b22d025267311f4717f39b87d3c54889d61872aae1&o=,https://www.booking.com/hotel/pk/bhurban-hill-apartments-bhurban8.html?aid=304142&label=gen173nr-10CAQoggJCDnNlYXJjaF9iaHVyYmFuSDNYBGi1AYgBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCrNnixQbAAgHSAiQ5YzkzMDMwNy0xMTY1LTQ5ZmYtYjA1Zi05MWJmNTc2MTc4ZjjYAgHgAgE&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=popularity&srpvid=95ff93d6950e0049&srepoch=1756933325&all_sr_blocks=1440916801_415545675_2_2_0&highlighted_blocks=1440916801_415545675_2_2_0&matching_block_id=1440916801_415545675_2_2_0&sr_pri_blocks=1440916801_415545675_2_2_0__722500&from=searchresults
Murree - Bhurban Apartment with Private Balcony,Bhurban,2.3 km from downtown,"['Entire apartment', '1 bedroom', '1 living room', '1 bathroom', '1 kitchen']",7.0,"PKR 8,500",https://cf.bstatic.com/xdata/images/hotel/square240/679556431.webp?k=39823dcf677146838d667ccdc78f30b92b0365bd9bc0a4b448c4b212d030e01f&o=,https://www.booking.com/hotel/pk/luxury-apartment-with-balcony.html?aid=304142&label=gen173nr-10CAQoggJCDnNlYXJjaF9iaHVyYmFuSDNYBGi1AYgBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCrNnixQbAAgHSAiQ5YzkzMDMwNy0xMTY1LTQ5ZmYtYjA1Zi05MWJmNTc2MTc4ZjjYAgHgAgE&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=12&sr_order=popularity&srpvid=95ff93d6950e0049&srepoch=1756933325&all_sr_blocks=1408951001_412671501_7_0_0&highlighted_blocks=1408951001_412671501_7_0_0&matching_block_id=1408951001_412671501_7_0_0&sr_pri_blocks=1408951001_412671501_7_0_0__850000&from=searchresults
Heavenly Heights Bhurban,Bhurban,2.3 km from downtown,"['Entire apartment', '1 bedroom', '1 living room', '1 bathroom', '1 kitchen']",N/A,"PKR 8,756",https://cf.bstatic.com/xdata/images/hotel/square240/726433121.webp?k=1644cd11ec5147289ca32518b03b43b7057de9a01062f0163be2ab2468e51de6&o=,https://www.booking.com/hotel/pk/bhurban-continental-apartments-f-block.html?aid=304142&label=gen173nr-10CAQoggJCDnNlYXJjaF9iaHVyYmFuSDNYBGi1AYgBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCrNnixQbAAgHSAiQ5YzkzMDMwNy0xMTY1LTQ5ZmYtYjA1Zi05MWJmNTc2MTc4ZjjYAgHgAgE&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=13&sr_order=popularity&srpvid=95ff93d6950e0049&srepoch=1756933325&all_sr_blocks=1470421701_418389780_0_0_0&highlighted_blocks=1470421701_418389780_0_0_0&matching_block_id=1470421701_418389780_0_0_0&sr_pri_blocks=1470421701_418389780_0_0_0__875600&from=searchresults
Best Holiday Apartment,Bhurban,1.6 km from downtown,"['Entire apartment', '1 bedroom', '1 living room', '1 bathroom', '84 m²']",N/A,"PKR 14,400",https://cf.bstatic.com/xdata/images/hotel/square240/673751853.webp?k=da1d02ba3cfe3e67755566f1bc668fe70dd22519c934cc9ae0cfafff2800b655&o=,https://www.booking.com/hotel/pk/best-holiday-apartment.html?aid=304142&label=gen173nr-10CAQoggJCDnNlYXJjaF9iaHVyYmFuSDNYBGi1AYgBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCrNnixQbAAgHSAiQ5YzkzMDMwNy0xMTY1LTQ5ZmYtYjA1Zi05MWJmNTc2MTc4ZjjYAgHgAgE&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=14&sr_order=popularity&srpvid=95ff93d6950e0049&srepoch=1756933325&all_sr_blocks=1399352201_411793830_2_0_0&highlighted_blocks=1399352201_411793830_2_0_0&matching_block_id=1399352201_411793830_2_0_0&sr_pri_blocks=1399352201_411793830_2_0_0__1440000&from=searchresults
